time,RR%,V_LV,p_LV,V_LA,p_LA,V_RV,p_RV,V_RA,p_RA
13.101098258239800,73.67677519860000,96.38339039818040,5.894024492110670,59.53215043770560,6.509254403589700,130.79907375820700,1.8004852033893200,76.07746956468500,2.3173447647336100
13.102098265739900,73.82180783094230,96.51765411504830,5.906396194661270,59.58629047259150,6.519838339529840,130.9048001730480,1.8037256547396200,76.08840950011290,2.318081784466710
13.103098273239900,73.96684046328450,96.65154510169600,5.918733552062460,59.64028325582800,6.530393488971640,131.0100285549260,1.8069508416775600,76.09983957239010,2.3188518245528200
13.104098280740000,74.11187309562680,96.78506449329690,5.9310366689145600,59.694129059785300,6.540919905161270,131.11476846910100,1.8101610573727300,76.11175002230100,2.319654227516910
13.105098288240000,74.2569057279691,96.91821341536770,5.943305648928080,59.74782818604990,6.551417647056400,131.21902929254200,1.8133565892235800,76.124131282599,2.3204883488168300
13.106098295740100,74.40193836031140,97.05099298501830,5.955540595038880,59.80138096245830,6.561886778746450,131.3228202176290,1.8165377189710400,76.13697397423010,2.3213535565889000
13.107098303240100,74.54697099265370,97.18340431206890,5.967741609511100,59.85478774037020,6.572327368919320,131.4261502557820,1.819704722809800,76.1502689026304,2.3222492313984700
13.1080983107402,74.69200362499590,97.31544850004490,5.979908794028880,59.90804889215990,6.582739490371190,131.52902824102900,1.8228578714974400,76.16400705409680,2.323174765995420
13.109098318240300,74.83703625733820,97.44712664706100,5.992042249777770,59.96116480891350,6.593123219556200,131.63146283348700,1.8259974304614600,76.17817959222900,2.324129565074470
13.110098325740300,74.98206888968050,97.57843984660350,6.004142077516830,60.01413589831490,6.603478636173240,131.73346252279400,1.8291236599041000,76.19277785444140,2.3251130450401700
13.11109833324040,75.12710152202280,97.70938918821940,6.016208377642140,60.066962582707600,6.613805822787000,131.83503563145400,1.8322368149051800,76.20779334854350,2.3261246337765300
13.112098340740400,75.27213415436500,97.83997575812160,6.02824125024258,60.11964529731880,6.62410486448088,131.936190318133,1.8353371455229200,76.22321774938820,2.327163770421220
13.113098348240500,75.41716678670730,97.9702006397169,6.040240795148440,60.17218448863440,6.634375848539230,132.0369345808790,1.8384248968927000,76.23904289558550,2.3282299051441700
13.114098355740500,75.56219941904960,98.10006491406440,6.05220711197369,60.224580612913400,6.644618864156960,132.13727626028300,1.8415003093239500,76.25526078628060,2.329322498930500
13.115098363240600,75.70723205139190,98.22956966027010,6.064140300152330,60.27683413483060,6.654834002174230,132.237223042578,1.844563618395110,76.27186357799610,2.330441023367820
13.116098370740700,75.85226468373420,98.35871595582440,6.076040458969480,60.32894552623940,6.6650213548345100,132.33678246267600,1.8476150550467300,76.2888435815361,2.331584960437590
13.117098378240700,75.99729731607640,98.4875048768874,6.087907687587710,60.38091526504370,6.675181015564120,132.4359619071450,1.8506548456726900,76.3061932589506,2.332753802310710
13.118098385740800,76.14232994841870,98.61593749852780,6.099742085068990,60.432743834171700,6.685313078771620,132.53476861712900,1.853683212209710,76.32390522056060,2.333947051146980
13.119098393240800,76.28736258076100,98.74401489491860,6.1115437503927700,60.48443172064420,6.695417639665610,132.63320969120800,1.856700372225030,76.34197222204080,2.335164218898710
13.120098400740900,76.43239521310330,98.87173813949580,6.123312782470600,60.535979414728600,6.70549479408933,132.73129208820500,1.859706539002390,76.36038716156070,2.336404827117950
13.12109840824090,76.57742784544550,98.99910830508240,6.135049280157530,60.58738740917240,6.715544638370960,132.8290226299330,1.8627019216263200,76.37914307698080,2.3376684067677500
13.122098415741000,76.72246047778780,99.12612646398230,6.146753342260770,60.638656198511400,6.725567269188170,132.92640800389500,1.8656867250647700,76.39823314310470,2.338954498036940
13.123098423241100,76.86749311013010,99.25279368804620,6.158425067545800,60.689786278444000,6.7355627834459900,133.02345476592400,1.8686611502501000,76.41765066898530,2.3402626501586900
13.12409843074110,77.01252574247240,99.37911104871470,6.170064554740270,60.74077814526850,6.7455312781667100,133.12016934277600,1.8716253941585000,76.43738909528360,2.3415924212325600
13.125098438241200,77.15755837481460,99.50507961703820,6.181671902535930,60.79163229537770,6.7554728503910500,133.2165580346650,1.8745796498878300,76.45744199167980,2.342943378050100
13.126098445741200,77.30259100715690,99.63070046367960,6.193247209588770,60.84234922480510,6.765387597089510,133.31262701776100,1.8775241067339400,76.47780305433500,2.344315095923800
13.127098453241300,77.4476236394992,99.75597465889880,6.204790574517690,60.89292942881980,6.77527561508322,133.408382346624,1.880458950265480,76.49846610340310,2.3457071585195400
13.128098460741300,77.59265627184150,99.88090327252400,6.21630209590176,60.943373401565900,6.785137000973280,133.50382995659800,1.8833843623972200,76.51942508059160,2.347119157692220
13.129098468241400,77.73768890418370,100.00554570419700,6.227787247108770,60.993623255236500,6.7964099460661,133.59903436504000,1.8863023205475100,76.54061530116950,2.3500005105843900
13.130098475741500,77.88272153652600,100.13072815193300,6.239322157984680,61.04285049367120,6.813929526981240,133.69484315900500,1.8892388027524600,76.56118553130010,2.359297887804780
13.131098483241500,78.0277541688683,100.25772406572400,6.251024170317010,61.08976853113280,6.837869965921490,133.79259220946500,1.8922347526579400,76.5797874581406,2.3753310333571500
13.132098490741600,78.17278680121060,100.38774728668800,6.263005133245510,61.13313890947350,6.8679734043546700,133.89360083385100,1.8953306065538000,76.59508196297240,2.397977565173620
13.133098498241600,78.31781943355290,100.52193718464500,6.275370033767770,61.171787438070200,6.90396978375443,133.99915365188500,1.898565737265820,76.60575976820070,2.4270924779165900
13.13409850574170,78.46285206589510,100.6613574469970,6.288216885140430,61.20460662085560,6.945575349120560,134.11049609990600,1.9019783166725500,76.61054768068640,2.462506304955230
