time,Q_MV,Q_AV,Q_TV,Q_PV,Q_AR_SYS,Q_VEN_SYS,Q_AR_PUL,Q_VEN_PUL
12.415093113200800,140.72108077268800,-11.546319322367200,125.72207583491700,-2.730887483456750,90.85987471499780,112.85718802589500,75.20807066790930,195.67010275739400
12.416093120700800,140.1350398108000,-11.530094095713400,124.77617502273700,-2.728549728676210,90.70716664501390,112.86068381605100,75.20910298515130,195.1925099863450
12.417093128200900,139.56050630927400,-11.51389867294950,123.84840111938400,-2.7262174659960900,90.55471798885220,112.86380833345600,75.20949983980690,194.7119302905470
12.418093135700900,138.99691239489,-11.497732999199100,122.93841357741500,-2.723890614552640,90.4025282873286,112.86656858339700,75.20924276518070,194.22858819948700
12.419093143201000,138.44371974244000,-11.48159701899380,122.04587762922100,-2.7215690949796000,90.2505970821996,112.86897144057600,75.2083143098127,193.74269849110600
12.420093150701000,137.9004181737200,-11.46549067637410,121.17046422665000,-2.7192528294070800,90.09892391617040,112.87102365128900,75.20669800605010,193.25446653868600
12.421093158201100,137.36652431137700,-11.449413914978600,120.31184997868200,-2.7169417414581500,89.94750833290080,112.87273183558700,75.20437833912010,192.7640886497060
12.42209316570120,136.84158028642800,-11.433366678121700,119.46971708736100,-2.7146357562434900,89.7963498770113,112.87410248942000,75.20134071672150,192.27175239654700
12.423093173201200,136.3251524981860,-11.417348908861400,118.64375328221600,-2.7123348003542300,89.64544809408690,112.87514198675000,75.19757143915370,191.77763693893400
12.424093180701300,135.8168304252920,-11.401360550058800,117.8336517533470,-2.710038801853060,89.49480253068110,112.87585658164800,75.19305766999720,191.28191333804300
12.42509318820130,135.3162254864850,-11.385401544428900,117.03911108337700,-2.7077476902639400,89.34441273431850,112.8762524103660,75.18778740736000,190.78474486221700
12.426093195701400,134.82296994973600,-11.369471834585000,116.25983517842900,-2.705461396560390,89.19427825349730,112.87633549338300,75.18174945569940,190.28628728429400
12.427093203201400,134.33671588830500,-11.353571363077100,115.49553319827500,-2.703179853152570,89.04439863769010,112.8761117374260,75.17493339822960,189.78668917053000
12.428093210701500,133.85713418232100,-11.337700072423500,114.74591948583100,-2.700902993873260,88.89477343734520,112.875586937472,75.16732956992190,189.2860921611530
12.429093218201600,133.38391356440600,-11.321857905138800,114.01071349610400,-2.698630753962880,88.7454022038868,112.8747667787130,75.15892903110280,188.78463124259400
12.430093225701600,132.91675970793100,-11.30604480375690,113.28963972472700,-2.696363070053620,88.59628448971470,112.87365683850700,75.1497235416556,188.28243501145600
12.431093233201700,132.4553943564420,-11.290260710850400,112.58242763620900,-2.694099880152750,88.44741984820360,112.87226258829700,75.13970553582640,187.77962593030300
12.432093240701700,131.99955449283400,-11.274505569046400,111.88881159198200,-2.6918411236253600,88.29880783370200,112.87058939550300,75.12886809763740,187.27632057536100
12.433093248201800,131.54899154683500,-11.258779321039600,111.20853077836900,-2.6895867411763400,88.15044800153110,112.86864252539100,75.11720493690670,186.7726298762340
12.434093255701800,131.1034706394280,-11.24308190960280,110.5413291345480,-2.6873366748320100,88.00233990798240,112.86642714291400,75.10471036587400,186.2686593477700
12.4350932632019,130.6627698627910,-11.227413277595000,109.88695528060100,-2.6850908679211600,87.85448311031610,112.86394831452300,75.09137927642960,185.76450931417500
12.436093270702000,130.2266795944210,-11.211773367968000,109.2451624457250,-2.6828492650557900,87.70687716675860,112.86121100996000,75.07720711794450,185.260275125542
12.437093278202000,129.79500184409900,-11.196162123770500,108.61570839668100,-2.6806118121115100,87.55952163649960,112.8582201040140,75.06218987569660,184.75604736692300
12.43809328570210,129.36754963238500,-11.18057948815190,107.9983553665290,-2.6783784562076600,87.41241607968980,112.85498037825700,75.04632404988840,184.25191206009100
12.439093293202100,130.15985190510200,-11.165021633030800,108.65692122561700,-2.676147849916690,87.26556005743750,112.84938283592000,75.02960663525110,183.74590503774500
12.440093300702200,136.7309786682370,-11.149413243217200,115.44811999086700,-2.67389366309506,87.11895311464940,112.80496804299600,75.01203439846050,183.1982181965790
12.441093308202200,145.04581332265100,-11.133686081883600,124.3298427761730,-2.6715910052073500,86.97259469173760,112.70069406478000,74.99359962018720,182.5751036882930
12.442093315702300,154.1778129943750,-11.117818083342000,134.38227894145100,-2.6692304006817200,86.82648407454100,112.54210604724900,74.97428645120590,181.8687287368740
12.443093323202400,163.7164045678570,-11.101798376223200,145.19654784722500,-2.666806068202650,86.68062042327100,112.33785192332100,74.95407028681650,181.07748545191900
12.444093330702400,173.41241239669000,-11.085621961599000,156.51864249037800,-2.6643141906849900,86.53500281174460,112.09647383980500,74.93291809872390,180.2028794590650
12.445093338202500,183.09498129140500,-11.069287638001100,168.16765492854000,-2.661752261578450,86.38963026259600,111.82558592266100,74.91078914026840,179.24828250982200
12.446093345702500,192.6393757413840,-11.052796893161200,180.00470638808000,-2.6591187449613700,86.24450177616940,111.53171854487900,74.88763584086080,178.21825809097700
12.447093353202600,201.9513360804110,-11.03615321296880,191.9181838064770,-2.6564128681866000,86.09961635319340,111.22038513472200,74.86340479334060,177.11814162685300
12.44809336070260,210.9583515103160,-11.019361606998600,203.81570996002900,-2.6536344816987600,85.95497301203370,110.89621639527700,74.83803777638650,175.9537564743260
12.449093368202700,219.6042991397070,-11.002428260593800,215.6193513111040,-2.650783957040530,85.81057080146230,110.56310279658500,74.81147277466330,174.73121122204700
12.450093375702800,227.84590247961900,-10.985360267472000,227.2625531777280,-2.6478621084138700,85.66640880982010,110.22432348957300,74.78364497176580,173.45674977869600
