time,p_LA,p_LV,p_RA,p_RV,p_AR_SYS,p_VEN_SYS,p_AR_PUL,p_VEN_PUL
13.469101018260700,10.064914560172500,71.88267121934120,2.8044528747580300,16.611075582222500,90.30017849677710,23.6155417119996,18.386100017079900,12.5295122094536
13.470101025760800,10.081847555566000,71.4292529634205,2.8121368568464400,16.527968829072800,90.19792379347180,23.616210288013600,18.366399144980500,12.537158873132900
13.471101033260900,10.098707292876200,70.97475060903760,2.819817083766500,16.444031637043200,90.09577588814970,23.616875615939800,18.34678680512750,12.544766941106400
13.472101040760900,10.115493947952400,70.51920536294280,2.827493544626650,16.35927537202040,89.99373447097860,23.617537699670200,18.32726268495470,12.552336528714800
13.473101048261000,10.132207696796100,70.06265780429460,2.8351662286946800,16.273711489408900,89.8917992370478,23.618196543108400,18.307826465830200,12.559867755697200
13.474101055761000,10.148848715612400,69.60514789246360,2.842835125398820,16.187351532637200,89.78996988636750,23.618852150167200,18.28847782353330,12.567360745869100
13.475101063261100,10.16541718085880,69.14671497511190,2.8505002243289100,16.100207131664400,89.68824612386230,23.61950452476730,18.2692164287049,12.57481562681950
13.476101070761100,10.181913269289500,68.68739779654220,2.8581615152374700,16.012290001486400,89.58662765935790,23.620153670834900,18.250041947270600,12.58223252962510
13.4771010782612,10.198337157998400,68.2272345063069,2.8658189880407800,15.923611940642500,89.4851142075633,23.620799592301100,18.230954040840100,12.589611588581500
13.478101085761300,10.214689024457100,67.76626266806740,2.8734726328199700,15.834184829722200,89.38370548804780,23.621442293099300,18.21195236708320,12.596952940949000
13.479101093261300,10.230969046551700,67.30451926869910,2.8811224398220100,15.744020629872600,89.28240122521380,23.622081777165200,18.193036580083500,12.604256726713600
13.48010110076140,10.247177402615500,66.84204072762920,2.888768399460790,15.653131381306200,89.18120114826600,23.622718048434700,18.174206330671700,12.6115230883625
13.481101108261400,10.263314271460600,66.37886290640330,2.8964105023180300,15.561529201809000,89.08010499117760,23.623351110843400,18.15546126673970,12.618752170671400
13.482101115761500,10.279379832405100,65.91502111847010,2.904048739144340,15.469226285250200,88.9791124926534,23.623980968325400,18.136801033536100,12.625944120505400
13.483101123261500,10.295374265300000,65.45055013917750,2.911683100860100,15.37623490009180,88.87822339609040,23.62460762481280,18.118225273944000,12.63309908663060
13.484101130761600,10.31129775055180,64.98548421597200,2.9193135785564700,15.282567387899800,88.7774374495365,23.62523108423470,18.099733628743000,12.640217219537800
13.485101138261700,10.327150469144400,64.51985707879390,2.926940163496210,15.188236161856400,88.67675440564770,23.625851350516600,18.08132573685530,12.64729867127560
13.486101145761700,10.342932602658600,64.05370195066050,2.9345628471146500,15.093253705272700,88.57617402164320,23.6264684275799,18.063001235578100,12.654343595294100
13.487101153261800,10.358644333289000,63.58705155842940,2.942181621020530,14.997632570103500,88.47569605925980,23.62708231934130,18.04475976080090,12.661352146297600
13.488101160761800,10.374285843860100,63.11993814373600,2.9497964769968400,14.901385375462900,88.37532028470530,23.627693029712400,18.026600947211200,12.668324480106100
13.489101168261900,10.389857317839600,62.65239347409610,2.957407407001650,14.804524806140900,88.2750464686111,23.628300562599400,18.00852442848690,12.675260753525300
13.49010117576190,10.405358939351300,62.184448854167500,2.9650144031689500,14.707063611122300,88.17487438598420,23.628904921902400,17.990529837478300,12.68216112422390
13.491101183262000,10.420790893184900,61.71613513716320,2.972617457809390,14.609014602106000,88.07480381615950,23.629506111515400,17.97261680637790,12.68902575061940
13.492101190762100,10.436153364805800,61.24748273641000,2.9802165634111000,14.510390652027100,87.9748345427508,23.630104135326200,17.95478496688130,12.695854791769400
13.49310119826210,10.451446540362900,60.77852163704420,2.987811712640390,14.411204693579200,87.87496635360350,23.630698997215500,17.937033950337300,12.702648407271100
13.494101205762200,10.466670606694800,60.30928140783870,2.9954028983425100,14.311469717739200,87.7751990407458,23.631290701057600,17.91936338788970,12.709406757165300
13.495101213262200,10.481825751335600,59.83979121315500,3.002990113542330,14.211198772293800,87.67553240034160,23.631879250719500,17.90177291061010,12.71613000184840
13.49610122076230,10.49691216251880,59.37007982501290,3.0105733514450600,14.110404960367100,87.57596623264300,23.632464650061000,17.884262149622300,12.7228183019876
13.497101228262300,10.511930029180900,58.900175635271500,3.0181526054368900,14.009101438950300,87.47650034194380,23.633046902935000,17.866830736220100,12.729471818443400
13.498101235762400,10.52687954096330,58.430106667916300,3.0257278690856400,13.907301417433200,87.37713453653350,23.633626013186600,17.849478301976200,12.736090712195600
13.499101243262500,10.541760888214000,57.95990059144400,3.0332991361413900,13.805018156137300,87.27786862865240,23.63420198465390,17.832204478846500,12.742675144275000
13.500101250762500,10.556574261988100,57.48958473134160,3.040866400537110,13.702264964850700,87.1787024344471,23.63477482116730,17.8150088992654,12.74922527569880
13.501101258262600,10.571319854047400,57.01918608265130,3.0484296563891800,13.599055201364900,87.07963577392740,23.6353445265498,17.797891196237500,12.755741267410300
13.502101265762600,10.585997856859900,56.548731322616400,3.055988897998040,13.49540227001350,86.98066847092390,23.63591110461710,17.780851003422000,12.762223280223000
13.50310127326270,10.600608463598300,56.07824682340270,3.0635441198486800,13.39131962021220,86.88180035304700,23.6364745591771,17.76388795521200,12.768671474767900
13.504101280762700,10.615151868137500,55.60775866488850,3.071095316611170,13.286820745001400,86.78303125164720,23.637034894030600,17.747001686809300,12.775086011444200
13.505101288262800,10.629628265052700,55.13729264751860,3.078642483141210,13.181919179589900,86.68436100177560,23.63759211297070,17.730191834293900,12.781467050373900
13.50610129576290,10.644037849616200,54.66687430521630,3.086185614480550,13.076628499900600,86.58578944214740,23.638146219783400,17.71345803468890,12.787814751359000
13.507101303262900,10.65838081779350,54.1965289183473,3.093724705857530,12.970962321118500,86.48731641510520,23.638697218247100,17.69679992602170,12.794129273841600
13.508101310763000,10.672657366240600,53.726281526731300,3.1012597526874500,12.864934296239600,86.38894176658430,23.639245112133100,17.680217147380300,12.800410776867500
13.50910131826300,10.686867692298800,53.256156942694700,3.1087907505730700,12.758558114622200,86.29066534607960,23.639789905205500,17.66370933896700,12.806659419051200
13.510101325763100,10.701011993991300,52.786179764160200,3.116317695304970,12.651847500539700,86.19248700661360,23.640331601221100,17.647276142147400,12.81287535854440
13.511101333263100,10.715090470018300,52.316374387766600,3.1238405828619500,12.544816211735100,86.09440660470610,23.640870203930000,17.630917199496500,12.81905875300640
13.512101340763200,10.72910331975240,51.84676502201600,3.131359409411430,12.437478037977400,85.99642400034520,23.641405717075100,17.614632154841800,12.8252097595768
13.513101348263200,10.743050743233500,51.37737570044100,3.138874171309740,12.329846799619100,85.89853905695990,23.641938144392400,17.598420653303200,12.831328534849900
13.514101355763300,10.756932941164400,50.90823029478750,3.1463848651024900,12.22193634615610,85.80075164139450,23.64246748961130,17.582282341329900,12.837415234851500
13.515101363263400,10.770750114905500,50.439352528210000,3.1538914875248800,12.113760554788600,85.70306162388430,23.642993756454400,17.5662168667351,12.843470015017600
13.516101370763400,10.784502466469700,49.970765988471,3.161394035501980,12.00533332898350,85.60546887803300,23.64351694863780,17.550223878727800,12.849493030174100
13.517101378263500,10.79819019851750,49.50249414114340,3.168892506148990,11.896668597038700,85.50797328079180,23.644037069871300,17.534303027942300,12.855484434519000
13.518101385763500,10.811813514352300,49.03456034280800,3.176386896771520,11.787780310648600,85.41057471243960,23.644554123858000,17.518453966465600,12.861444381605600
